VTO_name	VTO_id
Hyperolius spatzi	VTO_0004695
Hemiauchenia minima	VTO_9027164
Pelecanimimus polyodon	VTO_9025190
Chlorurus genazonatus	VTO_0078949
Cetoscarus ocellatus	VTO_0078948
Gunnellichthys copleyi	VTO_0073937
Chilotheridium	VTO_9003843
Scarus gracilis	VTO_0078941
Scarus croicensis	VTO_0078940
Scarus caudofasciatus	VTO_0078943
Scarus chinensis	VTO_0078942
Scarus coeruleus coeruleus	VTO_0078945
Scarus obishime	VTO_0078944
Sparisoma rupripinne	VTO_0078947
Sparisoma griseorubrum	VTO_0078946
Simpsonictis jaynanneae	VTO_9013309
Drepanidini	VTO_9013308
Leiognathus leuciscus	VTO_0079098
Leiognathus klunzingeri	VTO_0079099
Williamsaspis	VTO_9013301
Australithax	VTO_9013300
Antiarcha	VTO_9013303
Wheathillaspis	VTO_9013302
Jiangxilepus	VTO_9013305
Yinosteus	VTO_9013304
Simocyon primigenius	VTO_9013307
Grossaspis	VTO_9013306
Chilotheridium pattersoni	VTO_9003841
Haplochromis nigripinnis	VTO_0073664
Pygopterus gleerupi	VTO_9017538
Homacanthus microdus	VTO_9017532
Boreolepidae	VTO_9017533
Microposaurus	VTO_9017530
Platystega	VTO_9017531
Pygopteridae	VTO_9017536
Pygopterus nielseni	VTO_9017537
Pontifactor bestiola	VTO_9017534
Boreolepis jenseni	VTO_9017535
Rypticus bornoi	VTO_0045719
Charitoceros	VTO_9025137
Lutra hessica	VTO_9025136
Glirulus ekremi	VTO_9025135
Nesotrochis	VTO_9025134
Stegotetrabelodon lybicus	VTO_9025133
Siamogale thailandica	VTO_9025132
Miorallus	VTO_9025131
Enhydriodon africanus	VTO_9025130
Glirulus gemmula	VTO_9025139
Ludiortyx	VTO_9025138
Eptatretus mcconnaugheyi	VTO_9046439
Protitanotherium superbum	VTO_9018218
Tanystropheus longobardicus	VTO_9018219
Protitanops curryi	VTO_9018216
Marcetia	VTO_9018217
Genartina hampshirensis	VTO_9018214
Scaldicetus grandis	VTO_9018215
Myctophum americanum	VTO_9018212
Protoceras celer	VTO_9018213
Genartina texana	VTO_9018210
Thalassocetus antwerpiensis	VTO_9018211
Alburnus carinatus	VTO_0064311
Telmatodon	VTO_9000428
Haplobunodon	VTO_9000429
Mixodectidae	VTO_9000424
Wuttagoonaspis	VTO_9000425
Prominatherium	VTO_9000426
Dracontolestes	VTO_9000427
Mycteria wetmorei	VTO_9000420
