VTO,taxname,ottid
VTO_0004695,Hyperolius spatzi,73599
VTO_0078949,Chlorurus genazonatus,3636812
VTO_0078948,Cetoscarus ocellatus,3636815
VTO_0073937,Gunnellichthys copleyi,3638402
VTO_9003843,Chilotheridium,4942713
VTO_0078941,Scarus gracilis,3636836
VTO_0078940,Scarus croicensis,686634
VTO_0078943,Scarus caudofasciatus,3636827
VTO_0078942,Scarus chinensis,3636825
VTO_0078944,Scarus obishime,3636837
VTO_0078946,Sparisoma griseorubrum,3636818
VTO_9013309,Simpsonictis jaynanneae,4942138
VTO_0079098,Leiognathus leuciscus,654605
VTO_0079099,Leiognathus klunzingeri,3633248
VTO_9013300,Australithax,3612100
VTO_0079092,Leiognathus decorus,5924510
VTO_9013306,Grossaspis,4144603
VTO_9003841,Chilotheridium pattersoni,4942714
VTO_0073664,Haplochromis nigripinnis,3635913
VTO_9017538,Pygopterus gleerupi,6142699
VTO_9017532,Homacanthus microdus,6159747
VTO_9017533,Boreolepidae,6138123
VTO_9017530,Microposaurus,4948451
VTO_9017531,Platystega,4948456
VTO_9017536,Pygopteridae,4143574
VTO_9017537,Pygopterus nielseni,6142700
VTO_9017534,Pontifactor bestiola,3616081
VTO_9017535,Boreolepis jenseni,6138124
VTO_0045719,Rypticus bornoi,127152
VTO_9025136,Lutra hessica,6145467
VTO_9025135,Glirulus ekremi,3608150
VTO_9025133,Stegotetrabelodon lybicus,6144049
VTO_9025132,Siamogale thailandica,6145504
VTO_9025130,Enhydriodon africanus,6145444
VTO_9025139,Glirulus gemmula,3608151
VTO_9046439,Eptatretus mcconnaugheyi,3644186
VTO_9018218,Protitanotherium superbum,4942931
VTO_9018219,Tanystropheus longobardicus,6158282
VTO_9018216,Protitanops curryi,4943027
VTO_9018214,Genartina hampshirensis,3643804
VTO_9018215,Scaldicetus grandis,4118725
VTO_9018212,Myctophum americanum,3629522
VTO_9018213,Protoceras celer,4955657
VTO_9018210,Genartina texana,3643807
VTO_9018211,Thalassocetus antwerpiensis,6145965
VTO_0064311,Alburnus carinatus,3627046
VTO_9000429,Haplobunodon,4944820
VTO_9000424,Mixodectidae,3616104
VTO_9000425,Wuttagoonaspis,4140214
VTO_9000427,Dracontolestes,4119278
VTO_9000420,Mycteria wetmorei,6151146
VTO_9000422,Galeopithecidae,3607827
VTO_0067321,Bathycongrus macrurus,3643046
VTO_0067320,Bathycongrus vicinalis,3643050
VTO_0067323,Bathycongrus dubius,3643054
VTO_0067322,Bathycongrus baranesi,515540
VTO_0067325,Bathycongrus bertini,3643051
VTO_0067324,Bathycongrus longicavis,3643047
VTO_0083251,Philautus leitensis,3618489
VTO_0067326,Bathycongrus varidens,3643064
VTO_0067329,Bathycongrus bleekeri,3643063
VTO_0067328,Bathycongrus macrocercus,349044
VTO_0066865,Gymnothorax punctatus,3643727
VTO_0083259,Philautus erythrophthalmus,3618522
VTO_0083258,Philautus pallidipes,3618515
VTO_0066050,Pyrrhulina maxima,3624414
VTO_0066051,Pyrrhulina filamentosa,3624416
VTO_0066052,Pyrrhulina laeta,3624407
VTO_0066053,Nannostomus mortenthaleri,3624429
VTO_0066054,Nannostomus anduzei,3624421
VTO_0066055,Nannostomus digrammus,3624420
VTO_0066056,Nannostomus marilynae,3624422
VTO_0066057,Nannostomus nitidus,3624426
VTO_0066058,Nannostomus trifasciatus,3624419
VTO_0066059,Nannostomus britskii,3624423
VTO_0059548,Batasio feruminatus,3623686
VTO_9016274,Diplocaulus minimus,3620860
VTO_9016272,Pliosiwalagus sivalensis,4117094
VTO_0061727,Stegophilus septentrionalis,3622302
VTO_9016273,Lambdoceras trinitiensis,4944654
VTO_9016270,Pliosiwalagus,4117092
VTO_9016271,Lagurus intermedius,380665
VTO_0061587,Trichomycterus longibarbatus,3622110
VTO_0061586,Trichomycterus sandovali,3622198
VTO_0061585,Trichomycterus therma,3622156
VTO_0061584,Trichomycterus taeniops,3622179
VTO_0061583,Trichomycterus quechuorum,3622194
VTO_0061582,Trichomycterus maracaiboensis,3622161
VTO_0061581,Trichomycterus oroyae,3622193
VTO_0061580,Trichomycterus gabrieli,3622132
VTO_0061589,Trichomycterus punctulatus,3622127
VTO_0061588,Trichomycterus duellmani,3622146
VTO_9034539,Fusuisaurus,6149049
VTO_9034538,Protoadapis curvicuspidens,4941570
VTO_9034535,Gasosaurus,4129335
VTO_9034534,Gasosaurus constructus,4129336
VTO_9034536,Platychoerops daubrei,4941534
VTO_9034531,Datousaurus,4947199
VTO_9034530,Crichtonsaurus benxiensis,6150244
VTO_9034533,Huanhepterus quingyangensis,4130066
VTO_9034532,Xuanhanosaurus qilixiaensis,4127781
VTO_0037870,Coptobrycon,782112
VTO_9031967,Crossognathus,4140757
VTO_9004899,Miosorex grivensis,3614609
VTO_9004898,Anchitherium aurelianense,3614947
VTO_9004891,Oviraptor,4946650
VTO_9004890,Conohyus,4118848
VTO_9004893,Elmisaurus,4126521
VTO_9004892,Oviraptoridae,4946639
VTO_9004895,Pedrerasaurus latifrontalis,6158084
VTO_9004894,Chirostenotes,4126518
VTO_0076625,Serranus heterurus,3634100
VTO_0065770,Argopleura chocoensis,3625951
VTO_0065771,Argopleura conventus,3625888
VTO_0065772,Bryconacidnus,3625869
VTO_0065773,Bryconacidnus hemigrammus,3625868
VTO_0065774,Bryconacidnus paipayensis,3625955
VTO_0065775,Bryconacidnus ellisi,3625882
VTO_0065778,Boehlkea,3625873
VTO_0065779,Nematobrycon lacortei,161346
VTO_0076622,Serranus novemcinctus,3634115
VTO_9002800,Pimelometopon,201161
VTO_9002801,Parahippus wyomingensis,3615051
VTO_9002802,Palaeotherium castrense,4942859
VTO_9002803,Parahippus tyleri,3615078
VTO_9002804,Platylaemus,4613832
VTO_9002809,Lophiodon leptorhynchum,4942880
VTO_0074069,Sonorolux,3634434
VTO_0074066,Megalonibea fusca,3634438
VTO_0079095,Leiognathus striatus,3633240
VTO_0074064,Bairdiella ensifera,3634366
VTO_0046178,Parascolopsis,339676
VTO_0074065,Megalonibea,3634390
VTO_0074062,Daysciaena albida,3634421
VTO_0074063,Bairdiella icistia,3634364
VTO_9013307,Simocyon primigenius,3612926
VTO_0079093,Leiognathus parviceps,3633238
VTO_0075339,Mogurnda spilota,3638348
VTO_0075338,Mogurnda malsmithi,3638343
VTO_0075335,Mogurnda kutubuensis,3638342
VTO_0075337,Mogurnda aiwasoensis,3638344
VTO_0075336,Mogurnda magna,3638350
VTO_0072174,Prionotus horrens,3631670
VTO_0072175,Prionotus albirostris,3631674
VTO_0075330,Thalasseleotris iota,3639893
VTO_0072178,Prionotus nudigula,3631682
VTO_9015515,Leptodontomys stirtoni,3610993
VTO_0060898,Rhamdia muelleri,3622017
VTO_0060899,Rhamdia parryi,5555222
VTO_0060893,Rhamdia reddelli,5555221
VTO_0060896,Rhamdia parvus,3624063
VTO_0060897,Rhamdia guasarensis,3622029
VTO_0060894,Rhamdia jequitinhonha,3622021
VTO_0060895,Rhamdia schomburgkii,3622024
VTO_0077523,Acanthogobius insularis,3636965
VTO_0077521,Gymnogobius scrobiculatus,3636934
VTO_0077526,Gobulus hancocki,3637453
VTO_9014648,Yuanmousaurus jiangyiensis,4127418
VTO_0062498,Triplophysa aquaecaeruleae,3628175
VTO_0062499,Triplophysa grahami,3628190
VTO_0062494,Triplophysa brachyptera,3628132
VTO_0062495,Triplophysa rossoperegrinatorum,3628141
VTO_0062496,Triplophysa daqiaoensis,3628172
VTO_0062497,Triplophysa yaopeizhii,3628103
VTO_0062490,Triplophysa yunnanensis,3628126
VTO_0062491,Triplophysa hsutschouensis,3628130
VTO_0062492,Triplophysa zaidamensis,3628208
VTO_0062493,Triplophysa leptosoma,3628125
VTO_9012207,Aphrosaurus,4946295
VTO_9012205,Serpianosaurus,4946829
VTO_9026153,Congruus,3607058
VTO_9026154,Geomys carranzai,3609407
VTO_9012202,Parthanosaurus,4129563
VTO_9012201,Pachypleurosaurus,4946834
VTO_9026157,Baringa,3607002
VTO_9026158,Baringa nelsonensis,3607035
VTO_9026159,Bohra,3607017
VTO_0077528,Wheelerigobius maltzani,3637830
VTO_9012209,Plesiosauria,5294564
VTO_9012208,Simosaurus,4129921
VTO_9027687,Anchisauripus exsertus,4130146
VTO_9027686,Teletaceras mortivallis,3614822
VTO_9027685,Borophagus pugnator,3612634
VTO_9014646,Borealosaurus,4129256
VTO_9027683,Borophagus secundus,3612601
VTO_9027682,Ochotonoma,4117086
VTO_9027681,Pseudalopex gymnocercus,839340
VTO_9027680,Ochotonoma anatolia,4117087
VTO_9014641,Ulmensia,3614648
VTO_9027689,Telmatherium accola,4942989
VTO_9027688,Mesoreodon floridensis,4944510
VTO_9014643,Explorornis,3602043
VTO_0006482,Nyctimystes,444690
VTO_9004079,Cathayornis yandica,3601981
VTO_9004078,Cathayornis,3601982
VTO_9004073,Berberosaurus,4144625
VTO_9004072,Rakomylus,4118683
VTO_9004071,Saotherium mingoz,4942180
VTO_9004070,Amphechinus kreuzae,4119062
VTO_9004077,Eocathayornis walkeri,4132073
VTO_9004076,Eocathayornis,4132072
VTO_9004074,Cainotherium,4944725
