ottid	number_of_vto_mappings_from_data_file
ott625703	1
ott625701	0
ott625708	0
ott247147	1
ott761562	1
ott334577	1
ott703861	1
ott11525	1
ott549960	0
ott4138544	0
ott3623566	2
ott713120	1
ott469734	1
ott3623324	1
ott736205	0
ott184826	1
ott11520	1
ott678031	1
ott3623553	1
ott776390	0
ott1083808	1
ott745395	0
ott481651	1
ott804526	1
ott804529	2
ott3623769	1
ott5925300	0
ott3623156	1
ott3623172	1
ott972040	0
ott992743	1
ott3622327	1
ott3623552	0
ott957939	1
ott3622921	1
ott3622920	1
ott3622923	1
ott3622922	1
ott3622925	1
ott3622924	1
ott3622927	1
ott3622926	1
ott3622929	1
ott3622928	1
ott3623432	0
ott3623433	1
ott3623434	1
ott3623436	0
ott5846057	0
ott5846056	0
ott3624198	1
ott3624199	1
ott3621849	1
ott3623141	1
ott5846050	0
ott3624192	1
ott3624193	1
ott3624190	1
ott3621848	1
ott3624197	1
ott5846059	0
ott5846058	0
ott1043029	1
ott452245	1
ott672135	0
ott672131	1
ott777015	1
ott452240	0
ott925562	1
ott3622699	1
ott3622698	1
ott183880	0
ott3622693	1
ott3622692	1
ott3622691	1
ott3622690	1
ott3622697	1
ott3622696	1
ott3622695	1
ott3622694	1
ott76620	0
ott76621	0
ott466224	1
ott1072147	1
ott493048	1
ott636438	1
ott440097	1
ott741703	1
ott257849	0
ott741701	0
ott3624228	1
ott3624229	1
ott482809	1
ott652375	0
ott3624225	1
ott3623506	1
ott194065	1
ott1078475	1
ott652370	0
ott3623502	1
ott652372	0
ott498407	1
ott422101	0
ott83485	1
ott267142	0
ott3621844	1
ott293632	0
ott3623398	1
ott808	2
ott3623578	1
ott1058094	1
ott1058096	1
ott942893	0
ott1058090	1
ott1058092	1
ott3623649	1
ott3623648	1
ott507216	1
ott651455	0
ott3623643	1
ott3623642	1
ott3623641	1
ott885239	1
ott3623647	1
ott3623646	1
ott3623645	1
ott3622195	1
ott3622749	1
ott3622748	1
ott3622741	1
ott3622740	1
ott3622743	1
ott3622742	1
ott3622745	1
ott3622744	1
ott3622747	1
ott3622746	1
ott3621865	1
ott3621864	1
ott3621867	1
ott873168	0
ott3621861	1
ott3621860	1
ott3621863	1
ott3621862	1
ott6141845	0
ott3621869	1
ott3621868	1
ott6141844	0
ott5845980	0
ott5845981	0
ott5845982	0
ott6141745	0
ott6141742	0
ott6141743	0
ott6141740	0
ott6141741	0
ott291076	0
ott672134	0
ott842274	1
ott664991	1
ott6141748	0
ott6141749	0
ott1074074	1
ott6141849	0
ott6141848	0
ott3621787	1
ott783384	1
ott1016850	1
ott1076718	1
ott3623780	1
ott1052192	1
ott925554	1
ott1076714	1
ott90751	1
ott90753	1
ott3621919	1
ott3621918	1
ott3623548	0
ott440092	1
ott688132	1
ott509951	1
ott3621911	1
ott3621910	1
ott3621913	1
ott3621912	1
ott3621915	1
ott3621914	1
ott3621917	1
ott3621916	1
ott743255	1
ott664995	0
ott3623549	1
ott475461	1
ott199224	2
ott3623367	1
ott199222	1
ott3622358	1
ott3622359	1
ott3622356	1
ott3622357	1
ott3622354	1
ott3622355	1
ott3622352	1
ott3622353	1
ott3622350	0
ott3622351	1
ott3622598	1
ott3622599	1
ott10532	0
ott950003	1
ott10534	0
ott10535	0
ott10536	0
ott10537	0
ott3622590	1
ott3622591	1
ott3622592	1
ott3622593	1
ott3622594	1
ott3622595	1
ott3622596	1
ott3622597	1
ott463659	0
ott181829	0
ott334558	1
ott558498	1
ott558497	1
ott558496	0
ott558494	0
ott558492	0
ott558490	1
ott263683	0
ott263682	0
ott6141818	0
ott6141819	0
ott712196	1
ott6141817	0
ott6141814	0
ott6141815	0
ott6141812	0
ott6141813	0
ott6141810	0
ott6141811	0
ott373895	1
ott626364	0
ott195717	1
ott3621960	1
ott186917	1
ott195714	1
ott482983	1
ott838	1
ott670942	0
ott5845968	0
ott439751	1
ott617541	1
ott482985	1
ott341161	1
ott617549	1
ott92599	0
ott93064	2
ott3623355	1
ott70172	1
ott1087463	1
ott3623356	1
ott1014995	1
ott3622509	1
ott3623353	1
ott3621961	1
ott784561	1
ott1014998	1
ott3622508	1
ott545954	1
ott3624257	1
ott3623329	0
ott3623766	1
ott927407	1
ott3622463	1
ott3623699	1
ott70176	1
ott6141922	0
ott209741	1
ott6141920	1
ott209743	1
ott6141926	0
ott209745	1
ott6141924	0
ott6141925	0
ott6141928	0
ott6141929	0
ott486491	0
ott3623767	1
ott696183	1
ott1078395	0
ott696180	0
ott3622176	1
ott3622177	1
ott3622174	1
ott3622175	1
ott3622172	1
ott3622173	1
ott3622170	1
ott3622171	1
ott3624295	1
ott532334	1
ott1011038	1
ott3622178	1
ott3622179	1
ott3624167	1
ott3624166	1
ott319726	1
ott122684	0
ott3624163	1
ott1031174	1
ott3624161	1
ott3624160	1
ott3624311	1
ott696185	1
ott261207	0
ott3624169	1
ott3623695	1
ott5925134	0
ott5925135	0
ott5925136	0
ott5925137	0
ott5925132	0
ott5925133	0
ott5925138	0
ott5925139	0
ott3623131	1
ott510938	0
ott510939	0
ott3623540	1
ott3621932	1
ott772404	0
ott5925177	0
ott372545	0
ott510936	0
ott510937	0
ott144218	1
ott411920	1
ott3622008	1
ott3621930	1
ott165953	1
ott3622002	1
ott3621937	1
ott144212	1
ott3622001	1
ott3622006	1
ott3622007	1
ott144216	1
ott3621936	1
ott501873	1
ott109120	1
ott109124	1
ott501875	1
ott109126	1
ott1039095	0
ott3621934	1
ott5846055	0
ott3623300	1
ott3624050	1
ott238935	1
ott3621833	1
ott3624057	1
ott3621939	2
ott3624056	1
ott206073	0
ott123331	0
ott123333	0
ott3624055	0
ott5555206	0
ott195322	1
ott3624054	1
ott619440	0
ott804531	1
ott804534	1
ott5846114	0
ott528279	1
ott394015	1
ott5846115	0
ott26922	0
ott26923	0
ott394013	1
ott3622914	1
ott3622915	1
ott3622916	1
ott3622917	1
ott3622911	1
ott3622912	1
ott3622913	1
ott3624347	1
ott3624346	1
ott3624345	1
ott5846111	0
ott3622918	1
ott3622919	1
ott3624341	1
ott3623136	0
ott452258	1
ott3624188	1
ott566345	1
ott717000	0
ott3624180	1
ott3624183	1
ott452253	1
ott3624185	1
ott3624184	0
ott3624187	1
ott452257	0
ott421006	0
ott5839248	0
ott5839249	0
ott5839244	0
ott5839245	0
ott921244	1
ott3623654	1
ott921242	0
ott921243	0
ott921240	1
ott421008	0
ott4138577	1
ott678769	1
ott5846088	0
ott5846089	0
ott870064	1
ott5846084	0
ott685863	1
ott5846087	0
ott5846080	0
ott5846082	0
ott179932	1
ott110220	1
ott76636	0
ott244027	0
ott677033	0
ott3622370	0
ott3623511	1
ott3624230	1
ott3623517	0
ott3623516	1
ott652368	0
ott652369	0
ott498410	1
ott652367	0
ott652364	0
ott3623518	1
ott652363	0
ott498416	1
ott3623288	1
ott284531	1
ott244024	0
ott1058080	1
ott1058087	1
ott733159	1
ott1058084	1
ott733157	1
ott215102	1
ott733154	1
ott215099	0
ott733151	1
ott3622378	1
ott3623638	1
ott598980	0
ott3623636	1
ott3623637	1
ott3623634	1
ott3623635	1
ott3623632	0
ott598983	0
ott3623630	1
ott3623631	1
ott3621858	0
ott431082	1
ott3623280	1
ott3622778	1
ott3622779	1
ott3622774	1
ott3622775	1
ott3622776	1
ott3622777	1
ott3622770	1
ott3622771	1
ott3622772	1
ott3622773	1
