vto_name	vto_id	ncbi_id	OT_name	Ot_ID
Heteropneustes	VTO_0036628	93620	Heteropneustes	700877
Heteropneustes fossilis	VTO_0036629	93621	Heteropneustes fossilis	700872
Pseudolithoxus dumus	VTO_0037348	281765	Pseudolithoxus dumus	977158
Trichomycterus anhanga	VTO_9046514	NA	NA	NA
Gagata gagata	VTO_0036622	385294	Gagata gagata	641165
Gagata melanopterus	VTO_0036623	400070	Gagata melanopterus	851192
Ayarnangra estuarius	VTO_0036620	385280	Ayarnangra estuarius	119579
Gagata	VTO_0036621	205339	Gagata	256922
Gagata dolichonema	VTO_0036626	400069	Gagata dolichonema	421562
Heteropneustidae	VTO_0036627	31004	Heteropneustidae	87882
Gagata cenia	VTO_0036624	205340	Gagata cenia	677782
Gagata sexualis	VTO_0036625	400071	Gagata sexualis	875495
Oreoglanis hypsiurus	VTO_0061118	NA	NA	NA
Oreoglanis jingdongensis	VTO_0061119	NA	NA	NA
Pareuchiloglanis macrotrema	VTO_0061110	NA	NA	NA
Pareuchiloglanis songdaensis	VTO_0061111	NA	NA	NA
Pareuchiloglanis abbreviatus	VTO_0061112	NA	NA	NA
Pareuchiloglanis poilanei	VTO_0061113	NA	NA	NA
Pareuchiloglanis tianquanensis	VTO_0061114	NA	NA	NA
Pareuchiloglanis nebulifer	VTO_0061115	NA	NA	NA
Pareuchiloglanis tamduongensis	VTO_0061116	NA	NA	NA
Oreoglanis siamensis	VTO_0061117	NA	NA	NA
Astrodoras asterifrons	VTO_0060789	NA	NA	NA
Aspidoras cf. pauciradiatus (Britto 2003)	VTO_0061353	NA	NA	NA
Synodontis polli	VTO_0036788	392949	Synodontis polli	576992
Tridens melanops	VTO_0061644	NA	NA	NA
Pseudostegophilus	VTO_0036519	648144	Pseudostegophilus	11524
Clarias sp. (Fink and Fink 1981)	VTO_0059670	NA	NA	NA
Noturus funebris	VTO_0036248	75284	Noturus funebris	139659
Noturus stanauli	VTO_0036249	371820	Noturus stanauli	948858
Nedystoma	VTO_0035823	591329	Nedystoma	516582
Arius gagora	VTO_0035822	591255	Arius gagora	678031
Nedystoma dayi	VTO_0035825	591330	Nedystoma dayi	1043029
Nedystoma novaeguineae	VTO_0035824	591323	Nedystoma novaeguineae	516546
Nemapteryx nenga	VTO_0035827	591258	Nemapteryx nenga	678002
Nemapteryx	VTO_0035826	591290	Nemapteryx	573489
Noturus lachneri	VTO_0036240	90664	Noturus lachneri	621580
Nemapteryx armiger	VTO_0035828	591305	Nemapteryx armiger	466218
Diplomystidae	VTO_0036714	31007	Diplomystidae	87884
Diplomystes	VTO_0036715	337531	Diplomystes	536091
Pterodoras	VTO_0036712	238588	Pterodoras	50907
Pterodoras granulosus	VTO_0036713	238589	Pterodoras granulosus	50908
Noturus exilis	VTO_0036246	61323	Noturus exilis	678206
Opsodoras ternetzi	VTO_0036711	238604	Nemadoras ternetzi	317867
Nannoptopoma sternoptychum	VTO_0060385	NA	NA	NA
Clarias nebulosus	VTO_0059671	NA	NA	NA
Pinirampus pirinampu	VTO_0036398	337629	Pinirampus pirinampu	813445
Pimelodus	VTO_0036399	42504	Pimelodus	361207
Corydoras robineae	VTO_0035278	NA	NA	NA
Brachyplatystoma capapretum	VTO_0036393	NA	NA	NA
Brachyplatystoma filamentosum	VTO_0036390	642922	Brachyplatystoma filamentosum	1077789
Brachyplatystoma tigrinum	VTO_0036391	1150203	Brachyplatystoma tigrinum	410517
Bergiaria westermanni	VTO_0036396	1053607	Bergiaria westermanni	817376
Pinirampus	VTO_0036397	337628	Pinirampus	813475
Bergiaria	VTO_0036395	NA	NA	NA
Physopyxis cristata	VTO_0060733	NA	NA	NA
Platydoras hancockii	VTO_0060732	NA	NA	NA
Platydoras sp. (Royero 1999)	VTO_0060731	NA	NA	NA
Platydoras armatulus	VTO_0060730	NA	NA	NA
Pseudancistrus guentheri	VTO_0060089	NA	NA	NA
Pseudancistrus papariae	VTO_0060088	NA	NA	NA
Doras higuchii	VTO_0060735	NA	NA	NA
Physopyxis ananas	VTO_0060734	NA	NA	NA
Pseudancistrus reus	VTO_0060085	NA	NA	NA
Pseudancistrus sp. (Armbruster 2004)	VTO_0060084	NA	NA	NA
Pseudancistrus yekuana	VTO_0060087	NA	NA	NA
Pseudancistrus kwinti	VTO_0060086	NA	NA	NA
Acestridium colombiense	VTO_0060081	NA	NA	NA
Dekeyseria niveata	VTO_0060080	NA	NA	NA
Acestridium triplax	VTO_0060083	NA	NA	NA
Acestridium dichromum	VTO_0060082	NA	NA	NA
Eurycheilichthys	VTO_0037029	510927	Eurycheilichthys	888348
Trichomycterus romeroi	VTO_0061547	NA	NA	NA
Chaca bankanensis	VTO_0035473	NA	NA	NA
Pimelodus blochii	VTO_0036402	686977	Pimelodus blochii	840989
Pimelodus argenteus	VTO_0036403	NA	NA	NA
Pimelodus pictus	VTO_0036400	255572	Pimelodus pictus	488963
Pimelodus ornatus	VTO_0036401	337652	Pimelodus ornatus	618288
Pimelodus coprophagus	VTO_0036407	1150218	Pimelodus coprophagus	423820
Pimelodus albicans	VTO_0036404	462339	Pimelodus albicans	672144
Clarias pseudonieuhofii	VTO_0059677	NA	NA	NA
Astroblepus ventralis	VTO_0060670	NA	NA	NA
